sent,eText,factValue
"""The information-systems industry is still going to be a high-growth business, and we're confident that we have tremendous assets as a company.""",have,CT
"""The key to Delta's record earnings continued to be excellent passenger revenue growth,"" said Thomas Roeck, chief financial officer.",continued,CT
"""The last two months have been the whole ball game,"" says Steven Norwitz, a vice president.",says,CT
"""The main thing is to stop the oil from coming out of there.""",coming,CT
"""The myths that Japan is not open to concerns from outside has, I think, been demolished at a stroke,"" Mr. Nadir said.",said,CT
"""The myths that Japan is not open to concerns from outside has, I think, been demolished at a stroke,"" Mr. Nadir said.",demolished,PR
"""The non-food operations were largely Mr. Lortie's creation {and} his strategy didn't work,"" said Steven Holt, a financial analyst with Midland Doherty Ltd.",said,CT
"""The non-food operations were largely Mr. Lortie's creation {and} his strategy didn't work,"" said Steven Holt, a financial analyst with Midland Doherty Ltd.",work,CT
"""The people who suffer in the short run are defendants, but the people who suffer in the long run are all of the people, because there won't be a vigorous private bar to defend the Bill of Rights,"" says Gerald Lefcourt, a criminal defense attorney who says he has turned down a number of cases to avoid possible fee seizures.",avoid,CT
"""The reason this is getting so much visibility is that some started shipping and announced early availability,"" said Hewlett-Packard's Mr. Archuleta.",said,CT
"""The situation is that the bankruptcy court will get out of the shipbuilding business.""",get,CT
"""There are a lot more downward revisions of earnings forecasts than upward revisions,"" said Abby Joseph Cohen, a market strategist at Drexel Burnham Lambert.",said,CT
"""There is no business reason for my departure,"" nor any disagreement over policy, he added.",added,CT
"""These bugs don't affect our schedule at all,"" he said.",affect,CT
"""These bugs don't affect our schedule at all,"" he said.",said,CT
"""These errata do not affect business programs,"" he said.",affect,CT
"""These errata do not affect business programs,"" he said.",said,CT
"""These guys simply don't retire to condos over the Euphrates.""",retire,CT
"""They have to continue to tighten their belts,"" said Craig Kloner, an analyst at Goldman, Sachs amp Co.",continue,CT
"""This game isn't over yet , "" said Joel D. Gross, a vice president at Donaldson, Lufkin amp Jenrette Securities Corp.",said,CT
"""This is a guy who is impulsive, and therefore capable of big miscalculations,"" says one senior administration official involved in managing the crisis.",managing,CT
"""This is being done at the suggestion of {Mr. Drabinsky} and to accommodate him, to facilitate his financing arrangements,"" Ms. Kolber said.",done,CT
"""This means Nestle is now in the candybar business in a big way,"" said Lisbeth Echeandia, publisher of Orlando, Fla.-based Confectioner Magazine.",said,CT
"""Unisys is getting clobbered.""",clobbered,CT
"""We anticipate that steel market conditions will exhibit a further moderate decline in the fourth quarter as the automotive sector remains weak and customers continue to adjust inventories,"" said Bethlehem Chairman Walter F. Williams.",anticipate,CT
"""We anticipate that steel market conditions will exhibit a further moderate decline in the fourth quarter as the automotive sector remains weak and customers continue to adjust inventories,"" said Bethlehem Chairman Walter F. Williams.",remains,PR
"""We cannot permit a further slowing in our volume trend,"" Anheuser said, adding it will take ""appropriate competitive pricing actions to support our long-term market share growth strategy"" for the premium brands.",take,CT
"""We cannot permit a further slowing in our volume trend,"" Anheuser said, adding it will take ""appropriate competitive pricing actions to support our long-term market share growth strategy"" for the premium brands.",permit,CT
"""We consider that his bid is an acceptable bid,"" said Sandra Kolber, spokeswoman for the independent directors' committee appointed last May to solicit and review bids for the company in the wake of a dispute between Mr. Drabinsky and Cineplex's major shareholder, MCA Inc.",appointed,CT
"""We don't look at this as a major problem for us,"" she said.",said,CT
"""We don't look at this as a major problem for us,"" she said.",look,CT
"""We don't need the cash.""",need,CT
"""We have always taken smaller accounts, but now we are looking for smaller accounts that will grow,"" Mr. Schwarz says.",taken,CT
"""We haven't benefited the shareholder as much as we need to,"" said Edgar Woolard Jr., Du Pont's chairman and chief executive officer, in an interview several months before he entered his current position in April.",entered,CT
"""We haven't benefited the shareholder as much as we need to,"" said Edgar Woolard Jr., Du Pont's chairman and chief executive officer, in an interview several months before he entered his current position in April.",benefited,CT
"""We haven't modified our schedules in any way,"" said a Sun spokesman.",said,CT
"""We haven't modified our schedules in any way,"" said a Sun spokesman.",modified,CT
"""We looked to the United States, we expected you to have the moral edge,"" says Nasser Tahboub, a Jerusalem-born Jordanian who has an American wife and a doctorate in political science from Duke University.",expected,CT
"""We looked to the United States, we expected you to have the moral edge,"" says Nasser Tahboub, a Jerusalem-born Jordanian who has an American wife and a doctorate in political science from Duke University.",have,PR
"""We should not be seeing any more,"" said Bill Rash, Intel's director for the 486 chip.",said,CT
"""We should not be seeing any more,"" said Bill Rash, Intel's director for the 486 chip.",seeing,PR
"""We think we're getting only 10% of the integration dollars our customers are spending,"" he said.",getting,PR
"""We think we're getting only 10% of the integration dollars our customers are spending,"" he said.",think,CT
"""We weren't as concerned until they became sell programs,"" says Mr. DaPuzzo, who now thinks it adds unnecessary volatility.",adds,CT
"""We weren't as concerned until they became sell programs,"" says Mr. DaPuzzo, who now thinks it adds unnecessary volatility.",concerned,Uu
"""We will have a reasonably flat year this year,"" Mr. Schwarz says.",have,CT
"""We will not go over a certain level,"" said David N. McCammon, Ford's vice president for finance, at a news conference yesterday in Dearborn, Mich. ""There's some price at which we'd stop bidding.""",stop,CT
"""We will not go over a certain level,"" said David N. McCammon, Ford's vice president for finance, at a news conference yesterday in Dearborn, Mich. ""There's some price at which we'd stop bidding.""",go,CT
"""We'd like to continue to reduce debt,"" President Lawrence Perlman said.",like,CT
"""We're in environments that are going to spend a lot of money on that.""",spend,CT
"""We're taking on more debt than we would have liked to,"" acknowledged Michael Plouf, LIN's vice president and treasurer.",taking,CT
"""We're taking on more debt than we would have liked to,"" acknowledged Michael Plouf, LIN's vice president and treasurer.",liked,CT
"""We've approached this not as a response to a temporary condition in the industry but as a fundamental change the industry is going through,"" Mr. Unruh said.",approached,CT
"""We've been listed as a candidate for so long it's not worth worrying about,"" said Mr. Price.",listed,CT
"""Whatever capital it (Sansui) needs so it can compete and become a totally global entity capable of competing with the best in the world, that capital will be injected,"" Mr. Nadir said.",injected,CT
"""Why have a war?""",war,Uu
"""Without some unexpected ""coup de theatre"", I don't see what will block the Paribas bid,"" said Philippe de Cholet, analyst at the brokerage Cholet-Dupont amp Cie. Mr. de Cholet said Mr. Fournier's biggest hope was to somehow persuade regulatory authorities to block the bid.",said,CT
"""Without some unexpected ""coup de theatre"", I don't see what will block the Paribas bid,"" said Philippe de Cholet, analyst at the brokerage Cholet-Dupont amp Cie. Mr. de Cholet said Mr. Fournier's biggest hope was to somehow persuade regulatory authorities to block the bid.",block,PR
"""Without some unexpected ""coup de theatre"", I don't see what will block the Paribas bid,"" said Philippe de Cholet, analyst at the brokerage Cholet-Dupont amp Cie. Mr. de Cholet said Mr. Fournier's biggest hope was to somehow persuade regulatory authorities to block the bid.",see,CT
"""You get a news item, it hits, you have strong redemptions that day and for two days following -- then go back to normal,"" says Mr. Litvack.",says,CT
$14 million of that seeped out Friday Oct. 13 alone.,seeped,CT
"A Brooklyn woman who was watching her clothes dry in a laundromat was killed Thursday evening when two would-be robbers emptied their pistols into the store, the police said.",emptied,CT
"A C$30-a-share bid by Ciba-Geigy Ltd., a pharmaceutical company based in Basel, Switzerland, and California-based Chiron Corp., a bioresearch concern, was extended to Nov. 16.",extended,CT
A CBS News report citing unidentified Jordanian sources said that Saddam's message called for an international conference to be convened to discuss an Iraqi withdrawal from Kuwait.,citing,CT
"A Kellogg officer, who asked not to be named, said the Memphis project was "" pulled in for a reconsideration of costs,"" an indication that the ambitious plans might be scaled back in any future construction.",said,CT
"A Kellogg officer, who asked not to be named, said the Memphis project was "" pulled in for a reconsideration of costs,"" an indication that the ambitious plans might be scaled back in any future construction.",scaled,PS
"A Pentagon spokesman said Thursday that the 38,000 U.S. troops in the Gulf will remain until Iraq complies with the U.N. Security Council agreement over weapons inspections.",said,CT
"A Reuters spokesman said the departure reflects ""no change in strategy or profits.""",said,CT
"A UN spokesman says UN secretary general Kofi Annan is on the verge of a breakthrough, but added it's not done yet.",says,CT
A bomb blast shocks the Olympic games.,shocks,CT
"A bright spot is the company's power-generation business, which is experiencing a surge of growth for the first time in years.",experiencing,CT
A closing date hasn't been set.,set,CT
"A committee of outside directors for the Garden City, N.Y., unit is evaluating the proposal;",evaluating,CT
"A company spokesman said it was ""possible, but highly unlikely,"" that the plant might never be built.",said,CT
"A company spokesman said it was ""possible, but highly unlikely,"" that the plant might never be built.",built,PR
"A day earlier, scores of trucks, many with Iraqi license plates, streamed north out of Aqaba to Amman and onto the desert highway bound for Iraq.",streamed,CT
A federal appeals court has reinstated his state convictions for securities fraud.,reinstated,CT
"A few days later, American Medical announced sharply lower earnings, taking charges of $24 million for insurance reserves and canceled real estate leases.",announced,CT
A group including several members of the the Bass family of Texas urged the company to take some steps to maximize shareholder value.,urged,CT
"A group of investors led by Giant Group Ltd. and its chairman, Burt Sugarman, said it filed with federal antitrust regulators for clearance to buy more than 50% of the stock of Rally's Inc., a fast-food company based in Louisville, Ky.",filed,CT
"A joint venture involving units of Innopac and Mobil Corp. earlier this year opened the first U.S. polystyrene recycling plant, in Leominster, Mass.",opened,CT
"A large plant in Covington, Ga., is to come on line next year.",come,CT
"A major dispute concerns a broad political treaty calling for border demarcation, which the two presidents signed last May.",signed,CT
A major focus of International Women's Day is the plight of Afghan women.,plight,CT
"A major goal of Kuchma's four-day state visit was the signing of a 10-year economic program aimed at doubling the two nations' trade turnover, which fell to dlrs 14 billion last year, down dlrs 2.5 billion from 1996.",fell,CT
"A major project is joint manufacturing of An-70 cargo planes, the Kremlin statement said.",said,CT
"A new Essex County task force began delving Thursday into the slayings of 14 black women over the last five years in the Newark area, as law-enforcement officials acknowledged that they needed to work harder to solve the cases of murdered women.",needed,CT
A new report says there has been a dramatic rise in the growth of hate groups in the United States over the past year.,says,CT
A passerby called police to report the body alongside the road.,called,CT
"A phony address listed on disclosure forms for a French donor will cost the far-right German People's Union about 549,000 marks (dlrs 305,000), parliament said Friday.",said,CT
A powerful ice storm continues to maintain its grip.,maintain,CT
"A second group of three company directors, aligned with Rally's founder James Patterson, also is seeking control of the fast-food chain.",seeking,CT
A seizure also would make the case the largest -- and one of the first -- in which lawyers' fees have been confiscated in a prosecution unrelated to drugs.,make,Uu
"A senior dealer with Warburg Securities noted British Gas, the most active blue-chip stock at 20 million shares traded, was affected by the political implications of Mr. Lawson's departure and Mrs. Thatcher's cabinet shuffle.",affected,CT
"A senior law enforcement source tells CNN, there is a lot of circumstantial evidence and it would be extraordinary to have all these bits and pieces and there not be a connection.",tells,CT
A small hardcore group under Pol Pot continued to hold out at their headquarters at Anlong Veng in northern Cambodia near the Thai border.,hold,CT
A source said the outcome of that session was unclear.,said,CT
"A spokesman for Seagram, the Montreal wine and spirits concern controlled by the Bronfman family, said the company will post additional pretax profit of about $33 million a year because of the additional Du Pont dividends.",post,CT
"A spokesman for the Stamford, Conn.based company said operations had a loss of $5.5 million for the quarter;",said,CT
"A spokesman for the Toronto cable television and telecommunications concern said the coupon rate hasn't yet been fixed, but will probably be set at around 8%.",fixed,CT
"A spokesman for the Toronto cable television and telecommunications concern said the coupon rate hasn't yet been fixed, but will probably be set at around 8%.",set,PR
"A spokesman for the Toronto cable television and telecommunications concern said the coupon rate hasn't yet been fixed, but will probably be set at around 8%.",said,CT
"A spokesman said herbicide use in some areas of the U.S. was delayed earlier in the year by heavy rains, thus increasing sales in the third quarter.",increasing,CT
"A spokesman said the savings bank may not qualify for the capital requirements because, under the proposed guidelines, its $380 million of preferred stock doesn't meet the ""core capital"" criteria outlined under the new Financial Institutions Reform, Recovery and Enforcement Act of 1989.",meet,CT
"A spokesman said the savings bank may not qualify for the capital requirements because, under the proposed guidelines, its $380 million of preferred stock doesn't meet the ""core capital"" criteria outlined under the new Financial Institutions Reform, Recovery and Enforcement Act of 1989.",qualify,PS
"A spokesman said the savings bank may not qualify for the capital requirements because, under the proposed guidelines, its $380 million of preferred stock doesn't meet the ""core capital"" criteria outlined under the new Financial Institutions Reform, Recovery and Enforcement Act of 1989.",said,CT
A spokeswoman for Crum amp Forster said employees were told early this week that numerous staff functions for the personal insurance lines were going to be centralized as a cost-cutting move.,told,CT
"A total of $650,000 is being offered in the United States for information leading to Kopp's arrest.",leading,Uu
"A total of $650,000, meanwhile, is being offered for information leading to the arrest of Kopp, who is charged with gunning down Dr. Barnett Slepian last fall in his home in Buffalo, N.Y. Slepian provided legal abortions in western New York state.",leading,Uu
"A total of about 3,000 Americans, 3,000 Britons and more than 450 Japanese are in Iraq and Kuwait.",in,CT
"A unit of DPC Acquisition Partners launched a $10-a-share tender offer for the shares outstanding of Dataproducts Corp., and said it would seek to liquidate the computer-printer maker ""as soon as possible,"" even if a merger isn't consummated.",seek,CT
"A year ago, Benjamin Franklin had profit of $1.8 million, or 23 cents a share.",profit,CT
"A year earlier UniFirst earned $2.4 million, or 24 cents a share adjusted for the split.",earned,CT
"A.L. Williams Corp. was merged into Primerica Corp., New York, after a special meeting of Williams shareholders cleared the transaction, the companies said.",said,CT
ABC quoted an Iraqi Foreign Ministry official in Baghdad as saying Americans in Iraq are restrictees'' who will stay there until the crisis ends.,quoted,CT
"AEP INDUSTRIES Inc. directors authorized a 3-for-2 split of the common, payable Dec. 7 to stock of record Nov. 22.",authorized,CT
"AMHERST, N.Y. (AP) -- A rifle found near the home of a slain abortion doctor may yield important clues for investigators trying to track down the gunman.",trying,CT
ATLANTA (AP) -- The creator of an anti-abortion Web site found to be a threat to abortion providers says a decision to shut the site down is just a temporary setback.'',shut,Uu
AVON RENT-A-CAR amp TRUCK Corp. said it declared a dividend of one warrant for each three shares of common stock.,said,CT
"About $60 million streamed out last week alone, double the level of the week following last month's Campeau Corp. credit squeeze.",streamed,CT
"About 1.1 million Class C warrants were issued, the company said.",said,CT
About 30% of Ratners's profit already is derived from the U.S.,derived,CT
"About 98% of the outflow was transferred to other Fidelity funds, says Neal Litvack, a Fidelity vice president, marketing, with most going into money market funds.",transferred,CT
"According to Mr. Steinman, the newsletter publisher, Anheuser's market share is nearly twice that of its nearest competitor, Miller Brewing, which had a 21.2% stake last year.",According,CT
"According to Upjohn's estimates, only 50% to 60% of the 1,100 eligible employees will take advantage of the plan.",take,Uu
"According to department policy, prosecutors must make a strong showing that lawyers' fees came from assets tainted by illegal profits before any attempts at seizure are made.",According,CT
"According to individuals familiar with Mr. Antar's case, prosecutors issued their warning this week after one of Mr. Antar's attorneys asked whether legal fees might be subject to seizure.",issued,CT
"According to the Arab American institute, Islam will one day be the second largest religion in the country.",According,CT
"According to the filing, Hewlett-Packard acquired 730,070 common shares from Octel as a result of an Aug. 10, 1988, stock purchase agreement.",According,CT
"Acquisition has launched a suit in a Delaware court seeking the withdrawal of Dunkin's poison pill rights and employee stock ownership plans, which it claims were put in place to deter bidders.",launched,CT
"Acquisition said 2.2 million shares, or about 38.5% of the shares outstanding, have been tendered under its offer.",said,CT
"Actually, about two years ago, the Journal listed the creation of the money fund as one of the 10 most significant events in the world of finance in the 20th century.",listed,CT
"Additionally, Crossland reported a third-quarter loss of $175.5 million, or $13.44 a share, compared with net income of $27.1 million, or $1.16 a share, a year ago.",reported,CT
"Additionally, the bank is increasing its loan-loss reserves for the third quarter by $8.5 million before taxes.",increasing,CT
"Addressing a NATO flag-lowering ceremony at the Dutch embassy, Orban said the occasion indicated the end of the embassy's mission of liaison between Hungary and NATO (North Atlantic Treaty Organization).",Addressing,CT
Administration aides said that the idea of the ultimatum was Gen. Powell's.,said,CT
Advanced Medical Technologies Inc. said it purchased 93% of a unit of Henley Group Inc.,said,CT
Advanced Medical paid $106 million in cash for its share in a unit of Henley's Fisher Scientific subsidiary.,paid,CT
"Aetna Life amp Casualty Co.'s third-quarter net income fell 22% to $182.6 million, or $1.63 a share, reflecting the damages from Hurricane Hugo and lower results for some of the company's major divisions.",fell,CT
"Afghanistan has been at war for twenty years, leaving a large part of the country's male population dead or in exile.",leaving,CT
"After a flat second quarter tied largely to lower newsprint earnings, Kimberly-Clark attributed the gain to improved results in its consumer businesses in North America, Brazil and Korea.",attributed,CT
"After a short, sharp drop when Asia's financial problems first became clear, the stock market has rebounded and corporate profits have remained healthy.",became,CT
"After a two-hour meeting at his Kennebunkport home with King Hussein of Jordan, Bush said, I did not come away with any feeling of hope'' that Iraq would withdraw its army from Kuwait.",come,CT
"After a two-hour meeting at his Kennebunkport home with King Hussein of Jordan, Bush said, I did not come away with any feeling of hope'' that Iraq would withdraw its army from Kuwait.",said,CT
"After a two-hour meeting at his Kennebunkport home with King Hussein of Jordan, Bush said, I did not come away with any feeling of hope'' that Iraq would withdraw its army from Kuwait.",withdraw,PR
"After accounting for a small downward revision Friday to December's figures, the economy has been creating jobs at a rate of 358,000 a month for the last four months _ and 381,000 over the last three months _ after averaging 242,000 for the first nine months of 1997.",creating,CT
"After cabling world leaders about his intention to give Saddam Hussein a final deadline to exit Kuwait, he offered him a week to withdraw fully , instead of the four days he originally considered, because of objections from some European partners that four days seemed punitive and unrealistic.",considered,CT
"After the split, the company will have more than 4.7 million shares outstanding.",have,CT
"Ah, we just saw an explosion up ahead of us here about sixteen thousand feet or something like that.",saw,CT
Air Force Lieutenant Colonel Eileen Collins will be named commander of the Space Shuttle Columbia for a mission in December.,named,CT
"Albright also used her speech to articulate a forward-looking vision for NATO, which will celebrate its 50th anniversary in Washington next month, and to defend NATO's potential involvement in Kosovo.",articulate,CT
"Albright, who was born in Prague and fled just after the Communist takeover in 1948, made no secret of her joy at her homeland and its neighbors joining the alliance after a six year trans-Atlantic diplomatic process led by the Clinton administration.",joining,CT
"Alex Henderson, an analyst at Prudential-Bache Securities, said that while Nashua's performance this year has been ""atrocious,"" the company nonetheless is attractive as a ""classic breakup candidate because there's no similarity between its {four} businesses.""",said,CT
"All across Hong Kong, the property market has crashed.",crashed,CT
"All in all, the Internet has a lot to offer.",has,CT
"All the political parties in the upper house, with the exception of the Greens, agreed on the enlargement process, according to reports reaching here.",according,CT
"Allianz, for example, has said in official comments so far that it will remain neutral.",said,CT
"Along with reduced volume, analysts said the nation's fifth largest steelmaker was hurt by holding higher-cost inventory when raw material costs of such key products as nickel dropped.",dropped,CT
"Also Sunday, more than 2,000 Catholic protesters rallied in Portadown against the annual parades by the Orange Order, Northern Ireland's dominant Protestant fraternal group.",rallied,CT
"Also Thursday, Saudi Arabia called for an emergency conference of the Organization of Petroleum Exporting Countries to discuss how much oil to pump.",called,CT
"Also applying for NATO membership are Romania, Slovenia, Latvia, Estonia, Lithuania and Bulgaria.",applying,CT
"Also involved in the group is Robert F. Angelo, formerly Phoenix's senior vice president, field operations, who left Phoenix at the beginning of October.",involved,CT
"Also today, King Hussein of Jordan arrived in Washington seeking to mediate the Persian Gulf crisis.",arrived,CT
"Also, substantially lower Dutch corporate tax rates helped the company keep its tax outlay flat relative to earnings growth, the company added.",helped,CT
"Alternatively, it is to offer three Paribas shares for one Navigation Mixte share.",offer,Uu
"Although Eastern is back to about 80% of its pre-strike schedule now, the Texas Air Corp. subsidiary was only beginning to get back on its feet during the quarter.",get,CT
"Although General Abacha had not publicly announced his candidacy, many people believe an Abacha presidency is a foregone conclusion.",announced,CT
"Although General Abacha had not publicly announced his candidacy, many people believe an Abacha presidency is a foregone conclusion.",believe,CT
"Although he called current market conditions ""highly competitive,"" Mr. LaMothe, Kellogg's chairman and chief executive officer, forecast an earnings increase for the full year.",forecast,CT
"Although he expressed confidence that the proposed new company's cash flow would be sufficient to cover interest payments on the debt, he estimated that the company wouldn't be profitable until 1994 or later.",estimated,CT
"Although he expressed confidence that the proposed new company's cash flow would be sufficient to cover interest payments on the debt, he estimated that the company wouldn't be profitable until 1994 or later.",cover,PR
"Although many of the transactions related to those securities haven't been completed, Columbia said the ultimate gain on the sale of those assets will range from $200 million to $300 million.",range,CT
"Although many of the transactions related to those securities haven't been completed, Columbia said the ultimate gain on the sale of those assets will range from $200 million to $300 million.",completed,CT
"Although profits were "" squeezed"" in 1989, mainly as a result of higher raw-material costs, the company said it is confident about future earnings and cash flow for 1990 and beyond.",said,CT
"Although the government said the economy grew an estimated 2.5% in the third quarter, in line with expectations, analysts are increasingly predicting much more sluggish growth -- and therefore more corporate earnings disappointments -- for the fourth quarter.",predicting,CT
"Amdahl Corp., a maker of mainframe computers, reported a sharp decline in net income for its third quarter, citing pricecutting by competitors and adverse effects from a strong U.S. dollar.",reported,CT
"America West wouldn't identify the entity, but said the payment was for the foreign company's use of certain tax benefits in connection with America West plane purchases.",identify,CT
"America West wouldn't identify the entity, but said the payment was for the foreign company's use of certain tax benefits in connection with America West plane purchases.",said,CT
"American Medical accepted the offer, meanwhile indicating it had heard from two other suitors.",accepted,CT
"American officials staunchly disavow any interest in driving through Iraq toward Baghdad, either in pursuit of Saddam Hussein himself or to set up some American-controlled government inside Iraq.",disavow,CT
"American war planners have long assumed that the early stage of the ground attack, in which American forces would use their speed to sweep around Iraqi defenses and their strength to punch through the relatively weak Iraqi front line, would be the easiest part.",assumed,CT
"American war planners have long assumed that the early stage of the ground attack, in which American forces would use their speed to sweep around Iraqi defenses and their strength to punch through the relatively weak Iraqi front line, would be the easiest part.",sweep,PR
"Amid reports that thousands of Iraqi soldiers had surrendered, administration aides were also upbeat in private, with one even talking of victory within a week.",surrendered,CT
"Amir, 27, is serving a life sentence for the November 1995 assassination of Rabin at a Tel Aviv peace rally.",serving,CT
"Among other reasons, high fees regulators imposed on certain transfers of thrift deposits to commercial banks ""substantially altered the economics of the transaction for both parties,"" Poughkeepsie said.",said,CT
Among the first three former Warsaw Pact countries to accede to NATO on Friday were also Poland and the Czech Republic.,accede,CT
"Among the other actively traded blue-chip issues, Imperial Chemical Industries dropped 11 to #10.86, Hanson skidded 9.5 to 200.5, and British Telecom fell 10 to 250.",dropped,CT
"Among them, Home Shopping, QVC and CVN already control most of that young and fast-growing market, which last year had sales of about $1.4 billion.",had,CT
"An American leader of a U.N. weapons inspection team resumed work in Iraq Friday, nearly two months after his team was effectively blocked.",blocked,CT
An IBM spokeswoman said the company told customers Monday about the bugs and temporarily stopped shipping the product.,stopped,CT
An IBM spokeswoman said the company told customers Monday about the bugs and temporarily stopped shipping the product.,shipping,CT
"An Iraqi official, speaking on customary condition of anonymity, said Ritter would not try to visit any of the eight presidential sites that Baghdad had placed off-limits to U.N. weapons inspectors.",speaking,CT
"An Iraqi official, speaking on customary condition of anonymity, said Ritter would not try to visit any of the eight presidential sites that Baghdad had placed off-limits to U.N. weapons inspectors.",try,CT
"An Upjohn spokesman said he had "" heard nothing"" to suggest the early retirement package was spurred by shareholder pressure or a potential bidder for the company, which occasionally has been the target of takeover speculation.",spurred,PR
"An Upjohn spokesman said he had "" heard nothing"" to suggest the early retirement package was spurred by shareholder pressure or a potential bidder for the company, which occasionally has been the target of takeover speculation.",said,CT
"An Upjohn spokesman said he had "" heard nothing"" to suggest the early retirement package was spurred by shareholder pressure or a potential bidder for the company, which occasionally has been the target of takeover speculation.",suggest,CT
An ambitious expansion has left Magna with excess capacity and a heavy debt load as the automotive industry enters a downturn.,left,CT
An elderly Catholic man was hospitalized from cuts after a Protestant gasoline bomb landed in his back yard.,hospitalized,CT
